ec2,status,success,start_time,stop_time,stop_reason,session,instance_key,s3_dir,meta_info
i-0145f74faa0ed546b,shutting-down,True,2022-02-06T11:34:41,2022-02-06T12:37:55,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.0.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.0.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:34:40+00:00', 'public_dns_name': 'ec2-18-197-150-165.eu-central-1.compute.amazonaws.com', 'public_ip': '18.197.150.165', 'private_dns_name': 'ip-172-31-13-68.eu-central-1.compute.internal', 'private_ip': '172.31.13.68', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0172885ab8f1f65e1'}]}"
i-0aac1c989badf8fd6,shutting-down,True,2022-02-06T11:34:46,2022-02-06T12:37:32,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.1.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.1.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:34:45+00:00', 'public_dns_name': 'ec2-3-122-109-164.eu-central-1.compute.amazonaws.com', 'public_ip': '3.122.109.164', 'private_dns_name': 'ip-172-31-1-142.eu-central-1.compute.internal', 'private_ip': '172.31.1.142', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-07167dc6308c98f71'}]}"
i-09f024cf69ccb04d2,terminated,True,2022-02-06T11:34:51,2022-02-06T12:37:41,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.2.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.2.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:34:50+00:00', 'public_dns_name': 'ec2-18-159-224-202.eu-central-1.compute.amazonaws.com', 'public_ip': '18.159.224.202', 'private_dns_name': 'ip-172-31-4-249.eu-central-1.compute.internal', 'private_ip': '172.31.4.249', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0c69a96599cc56bab'}]}"
i-046b792a86db11127,shutting-down,True,2022-02-06T11:34:56,2022-02-06T12:38:09,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.3.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.3.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:34:55+00:00', 'public_dns_name': 'ec2-3-70-179-126.eu-central-1.compute.amazonaws.com', 'public_ip': '3.70.179.126', 'private_dns_name': 'ip-172-31-6-76.eu-central-1.compute.internal', 'private_ip': '172.31.6.76', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0cfd9460e7f702b6a'}]}"
i-0b94b07571b6b33d9,shutting-down,True,2022-02-06T11:35:01,2022-02-06T12:38:18,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.4.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.4.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:00+00:00', 'public_dns_name': 'ec2-18-197-24-212.eu-central-1.compute.amazonaws.com', 'public_ip': '18.197.24.212', 'private_dns_name': 'ip-172-31-15-136.eu-central-1.compute.internal', 'private_ip': '172.31.15.136', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-024a7a836258193ac'}]}"
i-067d1389bdec02e3a,terminated,True,2022-02-06T11:35:06,2022-02-06T12:37:52,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.5.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.5.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:05+00:00', 'public_dns_name': 'ec2-3-70-25-167.eu-central-1.compute.amazonaws.com', 'public_ip': '3.70.25.167', 'private_dns_name': 'ip-172-31-2-13.eu-central-1.compute.internal', 'private_ip': '172.31.2.13', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-064fc57d7805e24b3'}]}"
i-0c6eb80369978a28e,shutting-down,True,2022-02-06T11:35:11,2022-02-06T12:37:57,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.6.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.6.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:11+00:00', 'public_dns_name': 'ec2-3-68-90-104.eu-central-1.compute.amazonaws.com', 'public_ip': '3.68.90.104', 'private_dns_name': 'ip-172-31-0-209.eu-central-1.compute.internal', 'private_ip': '172.31.0.209', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-089122fae6e8e901e'}]}"
i-01ab8594d44c69eb3,shutting-down,True,2022-02-06T11:35:16,2022-02-06T12:38:00,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.7.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.7.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:15+00:00', 'public_dns_name': 'ec2-35-158-160-12.eu-central-1.compute.amazonaws.com', 'public_ip': '35.158.160.12', 'private_dns_name': 'ip-172-31-1-2.eu-central-1.compute.internal', 'private_ip': '172.31.1.2', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0f1a0f11e43ef5ad1'}]}"
i-007fc7beea69c141c,shutting-down,True,2022-02-06T11:35:21,2022-02-06T12:38:04,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.8.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.8.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:20+00:00', 'public_dns_name': 'ec2-3-69-175-16.eu-central-1.compute.amazonaws.com', 'public_ip': '3.69.175.16', 'private_dns_name': 'ip-172-31-12-201.eu-central-1.compute.internal', 'private_ip': '172.31.12.201', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0564c77565954ef04'}]}"
i-04aeff73da728ae9e,shutting-down,True,2022-02-06T11:35:26,2022-02-06T12:38:43,Client.InstanceInitiatedShutdown: Instance initiated shutdown,gama.openml_s_271.1h8c.aws.20220206T113437,aws.openml_s_271.1h8c.higgs.9.gama,s3://automl-benchmark-bucket/ec2/gama.openml_s_271.1h8c.aws.20220206T113437/aws.openml_s_271.1h8c.higgs.9.gama,"{'instance_type': 'm5.2xlarge', 'launch_time': '2022-02-06 11:35:25+00:00', 'public_dns_name': 'ec2-3-69-44-131.eu-central-1.compute.amazonaws.com', 'public_ip': '3.69.44.131', 'private_dns_name': 'ip-172-31-3-91.eu-central-1.compute.internal', 'private_ip': '172.31.3.91', 'availability_zone': 'eu-central-1c', 'subnet_id': 'subnet-befca8f3', 'volumes': [{'type': 'standard', 'size_gb': 18, 'id': 'vol-0cebced255e6f63a1'}]}"
